Time,Open,High,Low,Last,Change,%Chg
7/2/2021 15:30,433.605,434.1,433.44,433.72,0.12,0.03%
7/2/2021 15:00,433.26,433.67,433.19,433.6,0.3325,0.08%
7/2/2021 14:30,433.56,433.57,433.18,433.2675,-0.2886,-0.07%
7/2/2021 14:00,433.3125,433.56,433.2699,433.5561,0.246,0.06%
7/2/2021 13:30,433.16,433.39,433.03,433.3101,0.1502,0.03%
7/2/2021 13:00,433.2601,433.49,433.06,433.1599,-0.1101,-0.03%
7/2/2021 12:30,432.49,433.3,432.46,433.27,0.77,0.18%
7/2/2021 12:00,432.45,432.55,432.34,432.5,0.05,0.01%
7/2/2021 11:30,432.11,432.65,432.04,432.45,0.33,0.08%
7/2/2021 11:00,431.89,432.13,431.84,432.12,0.22,0.05%
7/2/2021 10:30,431.88,431.959,431.7399,431.9,0.02,0.00%
7/2/2021 10:00,431.815,431.97,431.61,431.88,0.07,0.02%
7/2/2021 9:30,431.67,431.92,431.33,431.81,1.33,0.31%
7/1/2021 15:30,430.28,430.6,430.04,430.48,0.21,0.05%
7/1/2021 15:00,430.38,430.52,430.23,430.27,-0.12,-0.03%
7/1/2021 14:30,430.18,430.41,430.15,430.39,0.2,0.05%
7/1/2021 14:00,429.92,430.205,429.8298,430.19,0.28,0.07%
7/1/2021 13:30,429.75,430.2099,429.71,429.91,0.1599,0.04%
7/1/2021 13:00,429.49,429.78,429.43,429.7501,0.2501,0.06%
7/1/2021 12:30,429.55,429.65,429.41,429.5,-0.045,-0.01%
7/1/2021 12:00,429.54,429.66,429.41,429.545,0.005,0.00%
7/1/2021 11:30,429.33,429.66,429.28,429.54,0.2,0.05%
7/1/2021 11:00,429.48,429.71,428.86,429.34,-0.14,-0.03%
7/1/2021 10:30,429.38,429.74,429.2401,429.48,0.11,0.03%
7/1/2021 10:00,429.34,429.66,429.1,429.37,0.0375,0.01%
7/1/2021 9:30,428.87,429.485,428.8,429.3325,1.2325,0.29%
6/30/2021 15:30,428.16,428.78,427.96,428.1,-0.055,-0.01%
6/30/2021 15:00,427.93,428.215,427.875,428.155,0.235,0.05%
6/30/2021 14:30,427.88,428.05,427.8,427.92,0.035,0.01%
6/30/2021 14:00,427.9,427.92,427.58,427.885,-0.005,0.00%
6/30/2021 13:30,427.87,427.95,427.7819,427.89,0.03,0.01%
6/30/2021 13:00,428.01,428.1,427.82,427.86,-0.16,-0.04%
6/30/2021 12:30,427.81,428.18,427.72,428.02,0.21,0.05%
6/30/2021 12:00,427.97,428.12,427.77,427.81,-0.16,-0.04%
6/30/2021 11:30,427.96,428.0925,427.81,427.97,0.02,0.00%
6/30/2021 11:00,428.215,428.38,427.8,427.95,-0.26,-0.06%
6/30/2021 10:30,427.92,428.3175,427.87,428.21,0.29,0.07%
6/30/2021 10:00,427.55,428.03,427.52,427.92,0.365,0.09%
6/30/2021 9:30,427.21,427.959,427.18,427.555,-0.205,-0.05%
6/29/2021 15:30,427.7,427.81,427.46,427.76,0.055,0.01%
6/29/2021 15:00,427.54,427.75,427.3,427.705,0.165,0.04%
6/29/2021 14:30,427.66,427.71,427.13,427.54,-0.12,-0.03%
6/29/2021 14:00,427.87,428.06,427.61,427.66,-0.21,-0.05%
6/29/2021 13:30,427.744,427.91,427.64,427.87,0.127,0.03%
6/29/2021 13:00,428.02,428.07,427.74,427.743,-0.267,-0.06%
6/29/2021 12:30,428.055,428.06,427.77,428.01,-0.045,-0.01%
6/29/2021 12:00,427.99,428.09,427.89,428.055,0.06,0.01%
6/29/2021 11:30,428.195,428.22,427.845,427.995,-0.195,-0.05%
6/29/2021 11:00,428.165,428.25,427.97,428.19,0.025,0.01%
6/29/2021 10:30,428.18,428.56,428.09,428.165,-0.015,0.00%
6/29/2021 10:00,428.17,428.285,427.94,428.18,0.01,0.00%
6/29/2021 9:30,427.88,428.4,427.87,428.17,0.69,0.16%
6/28/2021 15:30,427.195,427.65,427.1,427.48,0.29,0.07%
6/28/2021 15:00,426.93,427.29,426.755,427.19,0.27,0.06%
6/28/2021 14:30,426.715,427,426.67,426.92,0.21,0.05%
6/28/2021 14:00,426.49,426.76,426.47,426.71,0.21,0.05%
6/28/2021 13:30,425.95,426.52,425.89,426.5,0.56,0.13%
6/28/2021 13:00,426.18,426.21,425.89,425.94,-0.24,-0.06%
6/28/2021 12:30,426.365,426.43,426.17,426.18,-0.18,-0.04%
6/28/2021 12:00,426.54,426.65,426.31,426.36,-0.1725,-0.04%
6/28/2021 11:30,426.26,426.57,426.15,426.5325,0.2675,0.06%
6/28/2021 11:00,426.51,426.79,426.19,426.265,-0.235,-0.06%
6/28/2021 10:30,426.65,426.87,426.39,426.5,-0.15,-0.04%
6/28/2021 10:00,426.69,426.82,426.34,426.65,-0.04,-0.01%
6/28/2021 9:30,427.17,427.2419,426.02,426.69,0.1,0.02%
6/25/2021 15:30,426.595,427.0943,426.41,426.59,0,0.00%
6/25/2021 15:00,426.55,426.96,426.51,426.59,0.05,0.01%
6/25/2021 14:30,426.39,426.62,426.31,426.54,0.16,0.04%
6/25/2021 14:00,426.26,426.44,426.14,426.38,0.13,0.03%
6/25/2021 13:30,426.17,426.32,425.9511,426.25,0.08,0.02%
6/25/2021 13:00,426.29,426.31,426.04,426.17,-0.1116,-0.03%
6/25/2021 12:30,426.11,426.35,426.09,426.2816,0.1816,0.04%
6/25/2021 12:00,426.2902,426.38,426.08,426.1,-0.2,-0.05%
6/25/2021 11:30,426.31,426.36,426.145,426.3,0.01,0.00%
6/25/2021 11:00,425.9,426.31,425.85,426.29,0.39,0.09%
6/25/2021 10:30,426.36,426.445,425.87,425.9,-0.46,-0.11%
6/25/2021 10:00,425.84,426.48,425.6101,426.36,0.52,0.12%
6/25/2021 9:30,425.9,426.11,425.55,425.84,0.71,0.17%
6/24/2021 15:30,425.02,425.36,424.85,425.13,0.1001,0.02%
6/24/2021 15:00,425.39,425.42,424.97,425.0299,-0.3651,-0.09%
6/24/2021 14:30,425.42,425.55,425.28,425.395,-0.015,0.00%
6/24/2021 14:00,425.13,425.46,425.11,425.41,0.28,0.07%
6/24/2021 13:30,425.05,425.169,424.77,425.13,0.075,0.02%
6/24/2021 13:00,425.2,425.53,424.92,425.055,-0.135,-0.03%
6/24/2021 12:30,424.9691,425.335,424.87,425.19,0.22,0.05%
6/24/2021 12:00,424.7819,425.16,424.76,424.97,0.195,0.05%
6/24/2021 11:30,424.975,425.08,424.62,424.775,-0.195,-0.05%
6/24/2021 11:00,425.01,425.19,424.8,424.97,-0.03,-0.01%
6/24/2021 10:30,425.475,425.53,424.97,425,-0.47,-0.11%
6/24/2021 10:00,424.93,425.47,424.73,425.47,0.55,0.13%
6/24/2021 9:30,424.89,425.29,424.72,424.92,2.2,0.52%
6/23/2021 15:30,423.7,423.73,422.51,422.72,-0.99,-0.23%
6/23/2021 15:00,423.37,423.82,423.19,423.71,0.34,0.08%
6/23/2021 14:30,423.25,423.435,423.18,423.37,0.122,0.03%
6/23/2021 14:00,423.56,423.5681,423.215,423.248,-0.312,-0.07%
6/23/2021 13:30,423.54,423.6,423.37,423.56,0.025,0.01%
6/23/2021 13:00,423.16,423.59,423.07,423.535,0.39,0.09%
6/23/2021 12:30,423.385,423.3899,422.69,423.145,-0.245,-0.06%
6/23/2021 12:00,423.29,423.46,423.2,423.39,0.09,0.02%
6/23/2021 11:30,423.22,423.37,422.92,423.3,0.09,0.02%
6/23/2021 11:00,423.58,423.71,422.93,423.21,-0.37,-0.09%
6/23/2021 10:30,423.67,423.71,423.26,423.58,-0.075,-0.02%
6/23/2021 10:00,423.64,424.05,423.28,423.655,0.015,0.00%
6/23/2021 9:30,423.19,423.8,423.05,423.64,0.51,0.12%
6/22/2021 15:30,423.82,423.96,422.99,423.13,-0.69,-0.16%
6/22/2021 15:00,422.93,424,422.91,423.82,0.9,0.21%
6/22/2021 14:30,422.48,423.02,422.43,422.92,0.44,0.10%
6/22/2021 14:00,422.41,422.63,422.23,422.48,0.0699,0.02%
6/22/2021 13:30,422.415,422.48,422.33,422.4101,0.0001,0.00%
6/22/2021 13:00,422.28,422.535,422.13,422.41,0.11,0.03%
6/22/2021 12:30,422.45,422.47,422.18,422.3,-0.16,-0.04%
6/22/2021 12:00,422.05,422.48,422.05,422.46,0.43,0.10%
6/22/2021 11:30,422.445,422.55,421.98,422.03,-0.4,-0.09%
6/22/2021 11:00,421.88,422.63,421.76,422.43,0.56,0.13%
6/22/2021 10:30,421.265,421.89,421.21,421.87,0.62,0.15%
6/22/2021 10:00,420.42,421.38,420.08,421.25,0.85,0.20%
6/22/2021 9:30,420.85,421.14,420.16,420.4,-0.34,-0.08%
6/21/2021 15:30,420.64,421.06,420.34,420.74,0.1,0.02%
6/21/2021 15:00,420.64,420.95,420.32,420.64,-0.0004,0.00%
6/21/2021 14:30,420.58,420.76,420.36,420.6404,0.0547,0.01%
6/21/2021 14:00,420.75,420.91,420.49,420.5857,-0.1643,-0.04%
6/21/2021 13:30,420.14,420.99,420.14,420.75,0.62,0.15%
6/21/2021 13:00,419.89,420.21,419.8019,420.13,0.24,0.06%
6/21/2021 12:30,420.02,420.193,419.86,419.89,-0.12,-0.03%
6/21/2021 12:00,420.19,420.34,419.83,420.01,-0.17,-0.04%
6/21/2021 11:30,419.87,420.39,419.815,420.18,0.325,0.08%
6/21/2021 11:00,420.03,420.17,419.67,419.855,-0.175,-0.04%
6/21/2021 10:30,419.08,420.26,419.07,420.03,0.94,0.22%
6/21/2021 10:00,417.88,419.21,417.81,419.09,1.2299,0.29%
6/21/2021 9:30,416.8,418.03,415.93,417.8601,2.9601,0.71%
6/18/2021 15:30,416.55,416.94,414.7,414.9,-1.65,-0.40%
6/18/2021 15:00,415.87,416.94,415.605,416.55,0.6801,0.16%
6/18/2021 14:30,416.8,416.875,415.72,415.8699,-0.9301,-0.22%
6/18/2021 14:00,416.63,417.13,416.37,416.8,0.165,0.04%
6/18/2021 13:30,416.485,416.96,416.065,416.635,0.1549,0.04%
6/18/2021 13:00,416.71,417.24,416.46,416.4801,-0.2349,-0.06%
6/18/2021 12:30,417.25,417.265,416.31,416.715,-0.545,-0.13%
6/18/2021 12:00,416.75,417.26,416.41,417.26,0.4901,0.12%
6/18/2021 11:30,415.65,416.9,415.585,416.7699,1.1099,0.27%
6/18/2021 11:00,416.19,416.5481,415.61,415.66,-0.535,-0.13%
6/18/2021 10:30,416.66,417.21,415.85,416.195,-0.465,-0.11%
6/18/2021 10:00,417.22,417.455,416.11,416.66,-0.57,-0.14%
6/18/2021 9:30,417.09,417.8281,416.28,417.23,-4.73,-1.12%
6/17/2021 15:30,422.58,423.02,421.82,421.96,-0.63,-0.15%
6/17/2021 15:00,421.815,422.74,421.5827,422.59,0.78,0.18%
6/17/2021 14:30,422.24,422.27,421.64,421.81,-0.41,-0.10%
6/17/2021 14:00,422.18,422.36,421.86,422.22,0.03,0.01%
6/17/2021 13:30,422.25,422.62,421.93,422.19,-0.06,-0.01%
6/17/2021 13:00,421.115,422.26,421.07,422.25,1.13,0.27%
6/17/2021 12:30,419.66,421.12,419.32,421.12,1.46,0.35%
6/17/2021 12:00,421.29,421.415,419.39,419.66,-1.62,-0.38%
6/17/2021 11:30,422.06,422.62,421.17,421.28,-0.7711,-0.18%
6/17/2021 11:00,421.88,422.12,421.27,422.0511,0.1612,0.04%
6/17/2021 10:30,422.02,422.9325,421.7,421.8899,-0.1101,-0.03%
6/17/2021 10:00,421.84,422.29,421.1,422,0.165,0.04%
6/17/2021 9:30,421.67,422.9,421.6,421.835,-0.425,-0.10%
6/16/2021 15:30,422.93,423.58,421.93,422.26,-0.67,-0.16%
6/16/2021 15:00,421.67,423.59,421.41,422.93,1.2689,0.30%
6/16/2021 14:30,421.545,421.89,419.94,421.6611,0.1161,0.03%
6/16/2021 14:00,423.13,423.13,419.92,421.545,-1.59,-0.38%
6/16/2021 13:30,423.1,423.48,422.6,423.135,0.025,0.01%
6/16/2021 13:00,423.515,423.62,423,423.11,-0.4,-0.09%
6/16/2021 12:30,423.52,423.65,423.23,423.51,-0.0101,0.00%
6/16/2021 12:00,424.235,424.34,423.265,423.5201,-0.7099,-0.17%
6/16/2021 11:30,424.5,424.52,424.2,424.23,-0.275,-0.06%
6/16/2021 11:00,424.21,424.57,424.105,424.505,0.29,0.07%
6/16/2021 10:30,424.28,424.36,424.05,424.215,-0.07,-0.02%
6/16/2021 10:00,424.3,424.58,424.18,424.285,-0.0238,-0.01%
6/16/2021 9:30,424.63,424.87,424.13,424.3088,-0.2812,-0.07%
6/15/2021 15:30,424.435,424.98,424.03,424.59,0.155,0.04%
6/15/2021 15:00,424.76,424.79,424.275,424.435,-0.325,-0.08%
6/15/2021 14:30,424.615,424.9999,424.45,424.76,0.145,0.03%
6/15/2021 14:00,424.645,425.01,424.42,424.615,-0.035,-0.01%
6/15/2021 13:30,424.1081,424.74,424.06,424.65,0.54,0.13%
6/15/2021 13:00,424.23,424.36,423.9301,424.11,-0.11,-0.03%
6/15/2021 12:30,424.41,424.49,424.03,424.22,-0.1917,-0.05%
6/15/2021 12:00,423.93,424.45,423.92,424.4117,0.4817,0.11%
6/15/2021 11:30,424.135,424.135,423.54,423.93,-0.2,-0.05%
6/15/2021 11:00,424.04,424.35,423.9,424.13,0.0799,0.02%
6/15/2021 10:30,424.37,424.48,424.01,424.0501,-0.3199,-0.08%
6/15/2021 10:00,424.7,424.79,424.25,424.37,-0.325,-0.08%
6/15/2021 9:30,425.42,425.46,424.56,424.695,-0.605,-0.14%
6/14/2021 15:30,423.725,425.37,423.69,425.3,1.571,0.37%
6/14/2021 15:00,423.54,423.74,423.42,423.729,0.189,0.04%
6/14/2021 14:30,423.19,423.5993,423.16,423.54,0.3501,0.08%
6/14/2021 14:00,423.33,423.4,423.18,423.1899,-0.1351,-0.03%
6/14/2021 13:30,423.39,423.52,423.25,423.325,-0.075,-0.02%
6/14/2021 13:00,423.17,423.41,423.1,423.4,0.235,0.06%
6/14/2021 12:30,423.395,423.4,423.11,423.165,-0.23,-0.05%
6/14/2021 12:00,423.4181,423.6,423.33,423.395,-0.0232,-0.01%
6/14/2021 11:30,423.4959,423.55,423.22,423.4182,-0.0768,-0.02%
6/14/2021 11:00,423.74,423.99,423.39,423.495,-0.245,-0.06%
6/14/2021 10:30,423.535,423.79,423.23,423.74,0.2,0.05%
6/14/2021 10:00,423.93,424.01,423.35,423.54,-0.385,-0.09%
6/14/2021 9:30,424.43,424.45,423.6899,423.925,-0.435,-0.10%
6/11/2021 15:30,423.545,424.43,423.41,424.36,0.8101,0.19%
6/11/2021 15:00,423.7781,423.79,423.47,423.5499,-0.2201,-0.05%
6/11/2021 14:30,423.745,423.85,423.5701,423.77,0.0201,0.00%
6/11/2021 14:00,423.485,423.77,423.485,423.7499,0.2699,0.06%
6/11/2021 13:30,423.2481,423.535,423.23,423.48,0.24,0.06%
6/11/2021 13:00,423.1801,423.31,423.02,423.24,0.05,0.01%
6/11/2021 12:30,423,423.23,422.82,423.19,0.18,0.04%
6/11/2021 12:00,423.36,423.455,422.965,423.01,-0.345,-0.08%
6/11/2021 11:30,423.53,423.62,423.26,423.355,-0.1651,-0.04%
6/11/2021 11:00,423.35,423.53,423.025,423.5201,0.1501,0.04%
6/11/2021 10:30,423.66,423.69,423.2209,423.37,-0.28,-0.07%
6/11/2021 10:00,423.97,424.26,423.44,423.65,-0.33,-0.08%
6/11/2021 9:30,424.2,424.42,423.79,423.98,0.31,0.07%
6/10/2021 15:30,423.49,423.73,423.17,423.67,0.17,0.04%
6/10/2021 15:00,423.79,423.83,423.35,423.5,-0.3,-0.07%
6/10/2021 14:30,423.68,423.85,423.38,423.8,0.1299,0.03%
6/10/2021 14:00,424.08,424.1,423.64,423.6701,-0.4099,-0.10%
6/10/2021 13:30,423.75,424.09,423.525,424.08,0.34,0.08%
6/10/2021 13:00,423.9,424.05,423.69,423.74,-0.17,-0.04%
6/10/2021 12:30,423.27,423.92,423.27,423.91,0.65,0.15%
6/10/2021 12:00,423.47,423.6,423.1,423.26,-0.2,-0.05%
6/10/2021 11:30,423.21,423.52,422.87,423.46,0.26,0.06%
6/10/2021 11:00,422.46,423.24,422.13,423.2,0.735,0.17%
6/10/2021 10:30,423.76,423.9,421.55,422.465,-1.285,-0.30%
6/10/2021 10:00,424.25,424.63,423.605,423.75,-0.5,-0.12%
6/10/2021 9:30,422.96,424.52,422.94,424.25,2.58,0.61%
6/9/2021 15:30,421.83,422.055,421.41,421.67,-0.16,-0.04%
6/9/2021 15:00,422.43,422.435,421.81,421.83,-0.6,-0.14%
6/9/2021 14:30,422.812,422.88,422.36,422.43,-0.3804,-0.09%
6/9/2021 14:00,422.65,422.85,422.52,422.8104,0.1704,0.04%
6/9/2021 13:30,422.8419,422.9,422.52,422.64,-0.205,-0.05%
6/9/2021 13:00,422.75,422.9717,422.65,422.845,0.105,0.02%
6/9/2021 12:30,422.66,422.7901,422.625,422.74,0.09,0.02%
6/9/2021 12:00,422.47,422.68,422.39,422.65,0.175,0.04%
6/9/2021 11:30,422.94,422.96,422.21,422.475,-0.455,-0.11%
6/9/2021 11:00,422.83,423.12,422.79,422.93,0.0918,0.02%
6/9/2021 10:30,422.9,423.0699,422.7,422.8382,-0.0618,-0.01%
6/9/2021 10:00,422.84,422.9919,422.32,422.9,0.07,0.02%
6/9/2021 9:30,423.18,423.26,422.43,422.83,0.53,0.13%
6/8/2021 15:30,422.71,422.79,422.2425,422.3,-0.41,-0.10%
6/8/2021 15:00,422.75,422.94,422.565,422.71,-0.035,-0.01%
6/8/2021 14:30,422.58,422.79,422.37,422.745,0.16,0.04%
6/8/2021 14:00,422.24,422.595,422.14,422.585,0.355,0.08%
6/8/2021 13:30,422.23,422.655,422.17,422.23,-0.005,0.00%
6/8/2021 13:00,422.57,422.63,422.23,422.235,-0.335,-0.08%
6/8/2021 12:30,422.445,422.65,422.34,422.57,0.115,0.03%
6/8/2021 12:00,422.02,422.485,421.92,422.455,0.43,0.10%
6/8/2021 11:30,420.935,422.13,420.89,422.025,1.085,0.26%
6/8/2021 11:00,421.89,422.22,420.32,420.94,-0.94,-0.22%
6/8/2021 10:30,421.86,422.24,421.615,421.88,0,0.00%
6/8/2021 10:00,421.75,422.26,421.54,421.88,0.11,0.03%
6/8/2021 9:30,423.11,423.21,421.64,421.77,-0.49,-0.12%
6/7/2021 15:30,422.21,422.4,421.81,422.26,0.05,0.01%
6/7/2021 15:00,421.82,422.24,421.802,422.21,0.38,0.09%
6/7/2021 14:30,421.5,421.965,421.435,421.83,0.33,0.08%
6/7/2021 14:00,421.237,421.55,421.2,421.5,0.265,0.06%
6/7/2021 13:30,421.51,421.65,421.19,421.235,-0.27,-0.06%
6/7/2021 13:00,421.675,421.8,421.385,421.505,-0.1683,-0.04%
6/7/2021 12:30,421.54,421.8,421.48,421.6733,0.1283,0.03%
6/7/2021 12:00,421.515,421.82,421.43,421.545,0.025,0.01%
6/7/2021 11:30,421.46,421.54,421.24,421.52,0.06,0.01%
6/7/2021 11:00,421.73,421.91,421.435,421.46,-0.265,-0.06%
6/7/2021 10:30,421.61,421.74,421.29,421.725,0.105,0.02%
6/7/2021 10:00,422.2,422.2,421.47,421.62,-0.57,-0.14%
6/7/2021 9:30,422.59,422.78,421.93,422.19,-0.25,-0.06%
6/4/2021 15:30,422.47,422.92,422.36,422.44,-0.04,-0.01%
6/4/2021 15:00,422.49,422.54,422.34,422.48,-0.015,0.00%
6/4/2021 14:30,422.415,422.65,422.4,422.495,0.076,0.02%
6/4/2021 14:00,422.155,422.419,422.15,422.419,0.264,0.06%
6/4/2021 13:30,421.82,422.21,421.82,422.155,0.335,0.08%
6/4/2021 13:00,421.88,422.02,421.77,421.82,-0.06,-0.01%
6/4/2021 12:30,421.62,421.895,421.62,421.88,0.27,0.06%
6/4/2021 12:00,421.5899,421.74,421.47,421.61,0.025,0.01%
6/4/2021 11:30,421.87,421.91,421.46,421.585,-0.285,-0.07%
6/4/2021 11:00,421.72,422.02,421.68,421.87,0.155,0.04%
6/4/2021 10:30,421.365,421.87,421.32,421.715,0.35,0.08%
6/4/2021 10:00,421.25,421.645,421.23,421.365,0.115,0.03%
6/4/2021 9:30,420.75,421.5,420.68,421.25,2.42,0.58%
6/3/2021 15:30,419.18,419.45,418.73,418.83,-0.34,-0.08%
6/3/2021 15:00,418.76,419.18,418.74,419.17,0.405,0.10%
6/3/2021 14:30,419.04,419.29,418.74,418.765,-0.285,-0.07%
6/3/2021 14:00,419.53,419.61,419.01,419.05,-0.4801,-0.11%
6/3/2021 13:30,419.8,419.9,419.37,419.5301,-0.2749,-0.07%
6/3/2021 13:00,419.5704,419.86,418.88,419.805,0.245,0.06%
6/3/2021 12:30,419.327,419.75,419.13,419.56,0.235,0.06%
6/3/2021 12:00,419.43,419.65,418.93,419.325,-0.1,-0.02%
6/3/2021 11:30,419.67,419.78,419.07,419.425,-0.245,-0.06%
6/3/2021 11:00,419.33,419.99,419.155,419.67,0.345,0.08%
6/3/2021 10:30,417.63,419.3511,417.26,419.325,1.685,0.40%
6/3/2021 10:00,417.16,418.17,417.03,417.64,0.47,0.11%
6/3/2021 9:30,417.85,418.24,416.28,417.17,-3.22,-0.77%
Downloaded from Barchart.com as of 07-03-2021 04:16pm CDT,,,,,,
